Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21, C22, C23, C26, C27, C28, C30, C31, C32, C33, C34, C35, C36, C39, C40, C41, C42, C44, C45, C46, C48, C5, C7",0402,24,1uF,
C10,0402,1,4.7uF,
C11,0805,1,1000pF,
"C12, C25, C29, C37, C38, C47, C49, C52, C53, C8",0402,10,0.1uF,
C13,0402,1,100pF,
"C14, C15, C16",0805,3,22uF,
"C17, C18, C19, C20, C43",1206,5,100uF,
"C2, C24",0805,2,10uF,
"C3, C4",1210,2,47uF,
C50,0402,1,470pF,
C6,0402,1,4700pF,
C9,0402,1,2200pF,
J1,TENSILITY_54-00164,1,54-00164,C431534
J5,USB_C_Receptacle_GCT_USB4105-xx-A,1,USB_C_Receptacle_USB2.0,
J6,470531000,1,Conn_01x04,
L1,SLC1175-271MEC_COC,1,300nH,
R1,0402,1,8.25k,
R10,0402,1,68.1k,
R11,0402,1,10,
R12,1206,1,1,
"R13, R14",0402,2,49.9,
"R15, R16, R17, R25",0402,4,10k,
R19,0402,1,1k,
"R22, R23",0402,2,100,
R24,0402,1,5.6k,
R5,0402,1,14.7k,
R6,0402,1, RES 0 OHM JUMPER 1/16W,
R8,0402,1,3.74k,
R9,0402,1,11.8k,
SCREEN,PinHeader_1x04_P2.54mm_Vertical_shifted,1,Conn_01x04,
"SW1, SW2",SW_CS1213AGF260_CRS,2,GT-TC029B-H025-L1N,
U10,TSSOP-8_3x3mm_P0.65mm,1,EMC2101,
U2,LQFN40-CLIP,1,TPS546D24ARVFR,
U3,RT9080-33GJ5,1,RT9080-33GJ5,
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U5,SOT-23-5,1,MCP1824T-1202E/OT,
U6,SOT-23-5,1,MCP1824T-0802E,
U7,SMD3225-4P,1,25MHz,C5137262
U8,BM1370,1,BM1370_mode1,
U9,TSSOP-16_4.4x5mm_P0.65mm,1,SN74AVC4T774,
