Designator,Mid X,Mid Y,Rotation,Layer
C1,92.17,-82.22,180.0,top
C10,102.75,-75.04,270.0,top
C11,92.14,-85.86,0.0,top
C12,93.1,-83.76,270.0,top
C13,87.63,-77.49,270.0,top
C14,104.58,-78.93,90.0,top
C15,100.36,-78.91,90.0,top
C16,102.48,-78.91,90.0,top
C17,108.89,-89.0,0.0,top
C18,108.91,-86.4,0.0,top
C19,108.91,-83.8,0.0,top
C2,96.6,-69.35,0.0,top
C20,108.91,-81.12,0.0,top
C21,111.62,-60.03,0.0,top
C22,112.6,-55.9,0.0,top
C23,113.72,-60.03,180.0,top
C24,130.165,-84.35,90.0,top
C25,131.775,-84.35,90.0,top
C26,112.4635,-116.8365,0.0,top
C27,102.9525,-116.6075,0.0,top
C28,121.08,-99.8,180.0,top
C29,120.5325,-116.1175,180.0,top
C3,96.6,-63.3,0.0,top
C30,115.7425,-115.9175,270.0,top
C31,106.2825,-114.2375,270.0,top
C32,118.08,-99.766,180.0,top
C33,109.8,-110.4,90.0,top
C34,115.12,-99.766,180.0,top
C35,110.94,-110.4,90.0,top
C36,111.92,-99.75,180.0,top
C37,109.8,-103.0,270.0,top
C38,103.85,-103.0,270.0,top
C39,102.72,-103.0,270.0,top
C4,96.6,-66.55,0.0,top
C40,108.6824,-103.0,270.0,top
C41,100.52,-99.8,180.0,top
C42,102.729883,-110.31,90.0,top
C43,106.28,-103.01,270.0,top
C44,97.4,-99.8,180.0,top
C45,101.599883,-110.32,90.0,top
C46,94.8,-99.816,180.0,top
C47,125.959604,-91.2416,180.0,top
C48,92.0,-99.8,180.0,top
C49,124.769604,-87.9616,270.0,top
C5,90.5,-70.48,0.0,top
C50,95.53,-115.24,90.0,top
C52,87.5,-95.68,270.0,top
C53,89.1,-91.765,90.0,top
C6,96.57,-74.0,0.0,top
C7,96.59,-71.54,0.0,top
C8,90.42,-72.61,180.0,top
C9,96.57,-72.76,0.0,top
FID1,87.9,-54.0,0.0,top
FID2,125.2,-53.9,0.0,top
FID3,86.8916,-117.395,0.0,top
FID4,125.3978,-116.905,0.0,top
FID5,125.1972,-53.918,0.0,bottom
FID6,87.91,-53.9946,0.0,bottom
FID7,125.4,-116.9,0.0,bottom
FID8,86.9,-117.4,0.0,bottom
J1,84.15,-65.8,90.0,bottom
J5,81.675,-81.42,90.0,bottom
J6,81.089849,-91.99,90.0,top
L1,100.27,-85.255,0.0,top
R1,85.3,-73.5,0.0,top
R10,88.01,-74.67,180.0,top
R11,93.88,-72.93,180.0,top
R12,91.55,-88.21,180.0,top
R13,85.29,-75.64,180.0,top
R14,85.29,-74.57,0.0,top
R15,110.99,-74.51,0.0,top
R16,112.61,-57.33,180.0,top
R17,124.4,-100.26,270.0,top
R19,126.15,-105.63,180.0,top
R22,97.11,-114.66,0.0,top
R23,97.11,-115.8,180.0,top
R24,87.535,-111.6,180.0,top
R25,87.4,-92.8,270.0,top
R5,88.0,-75.72,0.0,top
R6,88.0,-73.6,180.0,top
R8,90.42,-71.58,180.0,top
R9,93.89,-73.99,180.0,top
SCREEN,104.4,-68.99,0.0,bottom
SW1,93.498,-55.398,180.0,bottom
SW2,101.858,-55.298,180.0,bottom
T1,90.825,-77.85,0.0,top
U10,91.48,-115.175,90.0,top
U2,93.58,-77.59,90.0,top
U3,112.563,-63.38,0.0,top
U4,117.43,-72.61,90.0,bottom
U5,112.4835,-114.3265,180.0,top
U6,103.0625,-114.2375,180.0,top
U7,120.4725,-113.3275,90.0,top
U8,106.2,-104.8,0.0,bottom
U9,120.129604,-86.9716,270.0,top
